State,How to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requirements,Deadlines,,,
,Online,,,,,,,By mail (intro),,,,By mail (steps),,,By mail (deadline & address),,,,,In person,,,,,,,,,,,Check if you're registered title,Check if you're registered link,,Online,Received by,Mail by,In person
Minnesota,Register online,"You'll need an email address and your Minnesota driver’s license, Minnesota ID card, or the last 4 digits of your Social Security number (if you don't have a Minnesota driver’s license or ID card)",[Register online](https://mnvotes.sos.state.mn.us/VoterRegistration/VoterRegistrationMain.aspx),,,,,1. Get the voter registration form,Download and print the Minnesota registration application or contact your [county election office](http://www.sos.state.mn.us/elections-voting/find-county-election-office/) to have one sent to you,[Get the form](http://www.sos.state.mn.us/elections-voting/register-to-vote/register-on-paper/),,2. Fill out the form,"**Steps 1–2** · Check the boxes if you're a US citizen and will be 18 by Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · Provide your address

**Step 5** · Provide your mailing address (if different from Step 4)

**Step 6** · Provide your date of birth

**Step 7** · Provide your Minnesota driver’s license number or Minnesota ID card number. If you don't have either, provide the last 4 digits of your Social Security number. 

- _If you don't have a Social Security number or either forms of Minnesota ID, check the box saying you don't have any of these_

**Step 8** · (Optional) Provide your previous name or address if you're updating your registration

**Step 9** · Sign and date the form",,3. Send the form,"Your completed form must be received by **5 PM on Oct 18** at the following address:

Secretary of State
60 Empire Drive
Suite 100
St. Paul, MN 55103",,,,1. Get the voter registration form,Pick up the registration form at your [county election office](http://www.sos.state.mn.us/elections-voting/find-county-election-office/),,,2. Fill out the form,"**Steps 1–2** · Check the boxes if you're a US citizen and will be 18 by Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · Provide your address

**Step 5** · Provide your mailing address (if different from Step 4)

**Step 6** · Provide your date of birth

**Step 7** · Provide your Minnesota driver’s license number or Minnesota ID card number. If you don't have either, provide the last 4 digits of your Social Security number. 

- _If you don't have a Social Security number or either forms of Minnesota ID, check the box saying you don't have any of these_

**Step 8** · (Optional) Provide your previous name or address if you're updating your registration

**Step 9** · Sign and date the form",,3. Return the form,"Return your completed form in person by **Oct 18** to your [county election office](http://www.sos.state.mn.us/elections-voting/find-county-election-office/) or the following address:

Secretary of State
60 Empire Drive
Suite 100
St. Paul, MN 55103

You can also return the form on Election Day, **Nov 8** at your voting location. If you register at your voting location you need to prove your residence using one of these options:

Option 1: Bring one of the following that is not expired and has your current address:
- _Minnesota driver’s license_

- _Minnesota learner’s permit_

- _Minnesota state ID card_

- _Tribal ID with name, address, photo and signature_ 

Option 2: Bring a photo ID (expired or unexpired) plus a second document that has your current address. 

Accepted photo IDs include:
- _Driver’s license, or ID issued by any state_

- _Passport_

- _Military or veteran ID_

- _Minnesota university, college, or high school ID_

Accepted documents with your current address include: 

- _Utility bill_

- _Banking or credit card bill_

- _Rent or mortgage bill_

- _Residential lease_

- _Current student fee statement_

Option 3: If you're on your college’s housing list, show the election official your student ID",,,Check if you're registered to vote,https://mnvotes.sos.state.mn.us/VoterStatus.aspx,"- Be a US citizen
- Live at a Minnesota address by Oct 19
- Be 18 years old by Election Day, Nov 8
- Not be serving any part of a felony conviction, including any probation, parole or other conditions such as restitution
- Not currently be judged incompetent by a court",2016-10-18,2016-10-18,,2016-11-08
Mississippi,,,,,,,,1. Get the voter registration form,Download and print the Mississippi registration application online or call [1-800-829-6786](tel:1-800-829-6786) to have one sent to you,[Get the form](http://www.sos.ms.gov/Elections-Voting/Documents/Voter_Registration.pdf),,2. Fill out the form,"**Steps 1–2** · Select “New Registration” or “Change of Information” and fill in the circles if you're a US citizen and will be 18 years old by Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · Provide your address

**Step 5** · Provide your mailing address (if different from Step 4)

**Step 6** · Provide your birthday

**Step 7** · Provide your Mississippi driver’s license number. If you don't have a Mississippi driver’s license, provide the last 4 digits of your Social Security number. 

- _If you don't have a Social Security number or Mississippi driver’s license, include a copy of a current and valid photo ID or a copy of a current utility bill, bank statement, government check, paycheck, or other government document that shows your name and address_

**Step 8** · (Optional) Provide your previous name and/or address if you were previously registered under a different name or address and are updating your registration information.

**Step 9** · Sign and date the form",,3. Send the form,Your completed form must be postmarked by **Oct 8** and mailed to your [county election office](http://www.sos.ms.gov/Elections-Voting/Pages/County-Election-Info.aspx),,,,1. Get the voter registration form,Pick up the registration form at your [county election office](http://www.sos.ms.gov/Elections-Voting/Pages/County-Election-Info.aspx),,,2. Fill out the form,"**Steps 1–2** · Select “New Registration” or “Change of Information” and fill in the circles if you're a US citizen and will be 18 years old by Election Day, Nov 8

**Step 3** · Provide your name

**Step 4** · Provide your address

**Step 5** · Provide your mailing address (if different from Step 4)

**Step 6** · Provide your birthday

**Step 7** · Provide your Mississippi driver’s license number. If you don't have a Mississippi driver’s license, provide the last 4 digits of your Social Security number.

**Step 8** · (Optional) Provide your previous name and/or address if you were previously registered under a different name or address and are updating your registration information

**Step 9** · Sign and date the form",,3. Return the form,Your completed form must be submitted in person by **Oct 8 at 12 PM** to your [county election office](http://www.sos.ms.gov/Elections-Voting/Pages/County-Election-Info.aspx),,,Check if you're registered to vote,Call your [county election office](http://www.sos.ms.gov/Elections-Voting/Pages/County-Election-Info.aspx),"- Be a US citizen
- Live at your Mississippi address by Oct 9
- Be 18 years old by Election Day, Nov 8
- Never have been convicted of certain specific crimes, or if convicted have had your voting rights restored
- Not currently be judged incompetent by a court",,,2016-10-08,2016-10-08
Missouri,Register online,"You'll need your Missouri driver’s license number, Social Security number, and birthday

To register online you'll need to check the box that indicates you're registering from a tablet, mobile device, or touchscreen device",[Register online](https://www.sos.mo.gov/votemissouri/request),,,,,1. Get the voter registration form,"Download and print the Missouri voter registration form from the Secretary of State website, or call the Elections Division at [1-800-669-8683](tel:1-800-669-8683) to request a form",[Get the form](http://www.sos.mo.gov/cmsimages/forms/elections/MVRA_PC_231-0169_042007.pdf),,2. Fill out the form,"**Steps 1–2** · Fill in the boxes for your citizenship status and age

**Step 3** · Fill in the box asking if this is a new registration

**Steps 4-8** · Provide your name, gender, residential address, and mailing address (if different)

**Step 9** · Provide your driver’s license number. If you don't have one, leave blank.

**Step 10** · Provide the last 4 digits of your Social Security number. If you don't have one, leave blank. 

**Step 11** · Provide your date of birth

**Step 12** · If applicable, provide the last address where you were registered and/or rural address information

**Step 13** · Sign and date the form

**Step 14** · If you wish to vote absentee (this is optional), include a copy of one of the following:

- _Birth certificate or Native American tribal document_

- _Passport_

- _Valid Missouri driver’s license_

- _ID issued by the National Guard, Armed Forces, or VA_

- _Driver’s license or state ID card issued by another state_

- _ID issued by an institution of higher education in Missouri_

- _Current utility bill, bank statement, gov't check, or paycheck_

- _Other gov’t document with a voter’s name and address_

- _Other ID issued by Missouri or the US government_",,3. Send the form,Mail your form to your [county clerk’s office](http://www.sos.mo.gov/elections/goVoteMissouri/pickupmail) by **Oct 12**,,,,1. Get the voter registration form,Visit your [county clerk’s office](http://www.sos.mo.gov/elections/goVoteMissouri/pickupmail) to pick up an application.,,,2. Fill out the form,"**Steps 1–2** · Fill in the boxes for your citizenship status and age

**Step 3** · Fill in the box asking if this is a new registration

**Steps 4–8** · Provide your name, gender, residential address, and mailing address (if different)

**Step 9** · Provide your driver’s license number. If you don't have one, leave blank.

**Step 10** · Provide the last 4 digits of your Social Security number. If you don't have one, leave blank. 

**Step 11** · Provide your date of birth

**Step 12** · If applicable, provide the last address where you were registered and/or rural address information

**Step 13** · Sign and date the form

**Step 14** · Show a copy of one of the following:

- _Birth certificate or Native American tribal document_

- _Passport_

- _Valid Missouri driver’s license_

- _ID issued by the National Guard, Armed Forces, or VA_

- _Driver’s license or state ID card issued by another state_

- _ID issued by an institution of higher education in Missouri_

- _Current utility bill, bank statement, gov't check, paycheck_

- _Other gov’t document with a voter’s name and address_

- _Other ID issued by Missouri or the US government_",,3. Return the form,Return the form to your [county clerk’s office](http://www.sos.mo.gov/elections/goVoteMissouri/pickupmail) by **Oct 12**,,,Check if you're registered to vote,http://s1.sos.mo.gov/elections/voterlookup/,"- Be a US citizen
- Live in Missouri
- Be 17 years and six months old when you register, and 18 years old by Election Day, Nov 8, to vote
- Not be in jail due to a criminal sentence
- Not be on probation or parole for a felony
- Not be convicted of any offense connected to the right to vote
- Not currently be judged incapacitated by a court
- Not claim the right to vote in another state",2016-10-12,,2016-10-12,2016-10-12
Montana,,,,,,,,1. Get the voter registration form,Download and print the Montana registration application or contact your [county election office](http://sos.mt.gov/elections/forms/elections/electionadministrators.pdf) to have one sent to you,[Get the form](http://sos.mt.gov/elections/Officials/Forms/documents/Voter-Registration-Application.pdf),,2. Fill out the form,"**Step 1** · Check the box to indicate if you’re registering for the first time or are updating your information 

**Step 2** · Check the boxes to indicate if you're a US citizen, will be 18 by Election Day, Nov 8, and will live at a Montana address by Oct 9

**Step 3** · Provide your name 

**Step 4** · Provide your birthday. Next, provide your phone number and email address (optional)

**Step 5** · Provide your Montana driver’s license number or Montana ID number. If you don't have either, provide the last 4 digits of your Social Security number.  

- _If you don't have a Social Security number or a Montana driver’s license or Montana ID card, mark the box stating that you don't have these, and provide a photocopy of an ID or document that shows your name and current address, such as a:_

- _Paycheck stub_

- _Utility bill_

- _Bank statement_

- _Government document_

**Step 6** · Provide your address

**Step 7** · (Optional)  Provide your mailing address, if different from Step 6

**Step 8** · (Optional) Check the appropriate box if the information about militia or overseas voters applies to you 

**Step 9** · Provide your previous address or other information, if applicable 

**Step 10** · Sign and date the form",,3. Send the form,Send your completed form by **Oct 11** so it's received by **Oct 14** at your [county election office]( http://sos.mt.gov/elections/forms/elections/electionadministrators.pdf),,,,1. Get the voter registration form,Pick up the form at your [county election office](http://sos.mt.gov/elections/forms/elections/electionadministrators.pdf) by **Nov 7** (before noon),,,2. Fill out the form,"**Step 1** · Check the box to indicate if you’re registering for the first time or are updating your information 

**Step 2** · Check the boxes to indicate if you're a US citizen, will be 18 by Election Day, Nov 8, and will live at a Montana address by Oct 9

**Step 3** · Provide your name 

**Step 4** · Provide your birthday. Next, provide your phone number and email address (optional)

**Step 5** · Provide your Montana driver’s license number or Montana ID number. If you don't have either, provide the last 4 digits of your social security number.  

- _If you don't have a social security number or a Montana driver’s license or Montana ID card, mark the box stating that you don't have these, and provide a photocopy of an ID or document that shows your name and current address, such as a:_

- _Paycheck stub_

- _Utility bill_

- _Bank statement_

- _Government document_

**Step 6** · Provide your address

**Step 7** · (Optional)  Provide your mailing address, if different from Step 6

**Step 8** · (Optional) Check the appropriate box if the information about militia or overseas voters applies to you 

**Step 9** · Provide your previous address or other information, if applicable 

**Step 10** · Sign and date the form",,3. Return the form,"Return your completed form at your [county election office](http://sos.mt.gov/elections/forms/elections/electionadministrators.pdf) by **Nov 7** (before noon)

You can also register at your polling place before voting on Election Day, **Nov 8**",,,Check if you're registered to vote,https://app.mt.gov/voterinfo/,"- Be a US citizen
- Live at a Montana address by Oct 9
- Be 18 years old by Election Day, Nov 8
- Not be in jail for a felony
- Not currently be judged to be of unsound mind by a court
- Not claim the right to vote elsewhere",,,2016-10-11,2016-11-08
Nebraska,Register online,You'll need your Nebraska driver’s license or state ID card to register online,[Register online](https://www.nebraska.gov/apps-sos-voter-registration/),,,,,1. Get the voter registration form,Download and print the registration form [online](http://www.sos.state.ne.us/elec/pdf/vr.pdf) or contact your [county election office](http://www.sos.ne.gov/elec/clerks.html) to have one sent to you,,,2. Fill out the form,"**Steps 1–2** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Steps 3–5** · Provide your name, birthday, and city and state where you were born 

**Step 6** · Provide your Nebraska driver’s license number. If you don't have a Nebraska driver’s license number, provide the last 4 digits of your Social Security number.

- _If you don't have a Nebraska driver’s license number or social security number, leave this step blank_

**Step 7** · Provide your address

**Step 8** · Provide your mailing address, if different from Step 7

**Step 9** · Provide the name or address of your previous registration, if applicable

**Step 10** · Provide your party affiliation information or select “nonpartisan” if you’re not affiliated with a party

**Step 11** · (Optional) Provide your phone number and email address

**Step 12** · Sign and date the form

**Step 13** · If you've never registered or voted in Nebraska before, include a copy of a photo ID or other document that has your name and residential address, such as:

- _Utility bill_

- _Bank statement_

- _Government check_

- _Other government document_",,3. Send the form,Mail your completed form by **Oct 21** to your [county election office](http://www.sos.ne.gov/elec/clerks.html),,,,1. Get the voter registration form,Pick up the form from your [county election office](http://www.sos.ne.gov/elec/clerks.html),,,2. Fill out the form,"**Steps 1–2** · Check the boxes to indicate you're a US citizen and will be 18 by Election Day, Nov 8

**Steps 3–5** · Provide your name, birthday, and city and state where you were born 

**Step 6** · Provide your Nebraska driver’s license number

- _If you don't have a Nebraska driver’s license number, provide the last 4 digits of your Social Security number_

- _If you don't have a Nebraska driver’s license number or Social Security number, leave this step blank_

**Step 7** · Provide your address

**Step 8** · Provide your mailing address, if different from Step 7

**Step 9** · Provide the name or address of your previous registration, if applicable

**Step 10** · Provide your party affiliation information or select “nonpartisan” if you’re not affiliated with a party

**Step 11** · (Optional) Provide your phone number and email address

**Step 12** · Sign and date the form

**Step 13** · If you've never registered or voted in Nebraska before, include a copy of a photo ID or other document that has your name and residential address, such as:

- _Utility bill_

- _Bank statement_

- _Government check_

- _Other government document_",,3. Return the form,Return your completed form by **Oct 28** to your [county election office](http://www.sos.ne.gov/elec/clerks.html),,,Check if you're registered to vote,https://www.votercheck.necvr.ne.gov/VoterView/RegistrantSearch.do,"- Be a US citizen
- Live at a Nebraska address 
- Be 18 years old by Election Day, Nov 8
- Not be convicted for a felony, or if convicted, two years have passed since the completion of the sentence and any parole term
- Not currently be judged incompetent by a court",2016-10-21,,2016-10-21,2016-10-28
Nevada,Register online,You'll need a Nevada driver’s license or ID card to register online,[Register online](https://nvsos.gov/sosvoterservices/Registration/step1.aspx),,,,,1. Get the voter registration form,Pre-fill the Nevada registration application online or contact your [county election office]( http://nvsos.gov/index.aspx?page=81) to have one sent to you,,,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen; will be 18 by Election Day, Nov 8; will live at a Nevada address by Oct 9; and will live in your precinct by Oct 29 (If you're pre-filling the form online, click “Continue”)

**Step 2** · Check the boxes to indicate if you’re registering for the first time or reporting a change in name, address, or political party

**Step 3** · Provide your name

**Steps 4–5** · Provide your home address and mailing address, if different

**Steps 6–7** · (Optional) Provide your email and birthday

**Step 8** · Provide your place of birth

**Step 9** · Provide your Nevada driver’s license or Nevada ID card number 

- _If you don't have either of these, provide the last 4 digits of your Social Security number_

- _If you don’t have a social security number, leave blank and contact your [county election office](http://nvsos.gov/index.aspx?page=81) after submitting the application_

**Step 10** · Provide your party affiliation information or indicate you're nonpartisan 

**Step 11** · If you're changing your registration information, provide your previous registration information

**Step 12** · If you're pre-filling the form online, click “Generate Voter Registration Form” and print the form

**Step 13** · Sign and date the form",,3. Send the form,Your completed form must be mailed by **Oct 8** to your [county election office](http://nvsos.gov/index.aspx?page=81),,,,1. Get the voter registration form,Pick up the form from your [county election office]( http://nvsos.gov/index.aspx?page=81),,,2. Fill out the form,"**Step 1** · Check the boxes to indicate you're a US citizen; will be 18 by Election Day, Nov 8; will live at a Nevada address by Oct 9; and will live in your precinct by Oct 29 

**Step 2** · Check the boxes to indicate if you’re registering for the first time or reporting a change in name, address, or political party

**Step 3** · Provide your name

**Steps 4–5** · Provide your home address and mailing address, if different

**Steps 6–7** · (Optional) Provide your email and birthday

**Step 8** · Provide your place of birth

**Step 9** · Provide your Nevada driver’s license or Nevada ID card number

- _If you don't have either of these, provide the last 4 digits of your Social Security number_

- _If you don’t have a Social Security number, leave blank and contact your [county election office](http://nvsos.gov/index.aspx?page=81) after submitting the application._

**Step 10** · Provide your party affiliation information or indicate you’re nonpartisan 

**Step 11** · If you're changing your registration information, provide your previous registration information

**Step 12** · Sign and date the form",,3. Return the form,Return the form by **Oct 18** to your [county election office](http://nvsos.gov/index.aspx?page=81),,,Check if you're registered to vote,https://nvsos.gov/VoterSearch/,"- Be a US citizen
- Live at a Nevada address by Oct 9 and live in your precinct by Oct 29
- Be 18 years old by Election Day, Nov 8
- Not be convicted of a felony and currently serving your any part of your sentence
- Not currently be judged incompetent by a court",2016-10-18,,2016-10-08,2016-10-18
New Hampshire,,,,,,,,Eligibility,You may only register by mail if you'll be temporarily absent or have a physical disability that prevents you from registering in person,,,1. Get the voter registration form,Contact your [city or town clerk](http://app.sos.nh.gov/Public/ClerkDetails.aspx) to request the necessary forms,,2. Fill out the form,"**Step 1–3** · Provide your name, date of birth, and name at birth (if different)

**Step 4** · Provide your New Hampshire address and your mailing address (if different)

**Step 5** · (Optional) Provide your telephone number and email address

**Step 6** · Sign and date the form

**Step 7** · Complete the absentee registration affidavit",,3. Send the form,Send the form to your [city or town clerk](http://app.sos.nh.gov/Public/ClerkDetails.aspx) by **Oct 29**,1. Get the voter registration form,"Voter registration forms are available at your [city or town clerk](http://app.sos.nh.gov/Public/ClerkDetails.aspx), at your local Supervisors of the Checklist during specified meeting times, and at the polls on Election Day, **Nov 8**",,,2. Fill out the form,"**Step 1–3** · Provide your name, date of birth, and name at birth (if different)

**Step 4** · Provide your New Hampshire address and your mailing address (if different)

**Step 5** · (Optional) Provide your telephone number and email address

**Step 6** · Sign and date the form

Provide proof of identity, age, citizenship, and domicile. You may sign an affidavit instead of providing documentation.",,3. Return the form,"- You may return the form to your [city or town clerk](http://app.sos.nh.gov/Public/ClerkDetails.aspx) or to a meeting of your local Supervisors of the Checklist by **Oct 29**
- You may register in person at your voting location on **Nov 8**",,,Check if you're registered to vote,http://app.sos.nh.gov/Public/AbsenteeBallot.aspx,"- Be a US citizen
- Be 18 years old or older on Election Day, Nov 8
- Be a New Hampshire resident 
- Not have ever been convicted of treason, bribery, a willful violation of state or federal election law, or bribery or intimidation in New Hampshire elections (unless the right to vote is restored  by the New Hampshire Supreme Court)
- Not have been convicted of a felony unless you have been finally discharged, your sentence is currently suspended or you're out on parole.",,,2016-10-29,2016-11-08
New Jersey,,,,,,,,1. Get the voter registration form,Fill out and print a voter registration application form for your county or contact your [County Commissioner of Registration or Superintendent of Elections](http://www.state.nj.us/state/elections/voting-information-local-officials.html) to request one by mail,[Get the form](http://www.state.nj.us/state/elections/voting-information.html),,2. Fill out the form,"**Step 1** · Indicate whether you're filling out a new registration, changing your address or name, updating your signature, or updating your party affiliation

**Step 2** · Respond Yes or No to whether you're a citizen and at least 17 years old

**Steps 3-5** · Provide your name, date of birth and your valid New Jersey Driver’s License or ID card number. If you don't have one, provide the last 4 digits of your Social Security number

**Step 6** · Provide your home address

**Steps 7–8** · (if applicable) Provide your mailing address (if different) and the last address where you were registered to vote

**Step 9** · (if applicable) Provide your former name if you're changing your name, along with your daytime phone number and email (both optional)

**Step 10** · Declare your political party affiliation or that you don't want to declare a party affiliation

**Step 11** · Select your gender

**Step 12** · Sign and date the registration

**Step 13** · If you're registering to vote for the first time, and don't provide a driver’s license, ID, or Social Security number, you must provide one of the following with your registration or when you vote:

- _Current photo ID_

- _Current utility bill_

- _Bank statement_

- _Government check_

- _Paycheck_

- _Other government document showing your name and address_",,3. Send the form,Mail the form to your [County Commissioner of Registration or Superintendent of Elections](http://www.state.nj.us/state/elections/voting-information-local-officials.html) no later than **Oct 18**,,,,1. Get the voter registration form,You can get a form at your [County Commissioner of Registration or Superintendent of Elections](http://www.state.nj.us/state/elections/voting-information-local-officials.html),,,2. Fill out the form,"**Step 1** · Indicate whether you're filling out a new registration, changing your address or name, updating your signature, or updating your party affiliation

**Step 2** · Respond Yes or No to whether you're a citizen and at least 17 years old

**Steps 3–5** · Provide your name, date of birth and your valid New Jersey driver’s license or ID card number. If you don't have one, provide the last 4 digits of your Social Security number.

**Step 6** · Provide your home address

**Steps 7–8** · (If applicable) Provide your mailing address (if different) and the last address where you were registered to vote

**Step 9** · (If applicable) Provide your former name if you're changing your name, along with your daytime phone number and email (both optional)

**Step 10** · Declare your political party affiliation or that you don't want to declare a party affiliation

**Step 11** · Select your gender

**Step 12** · Sign and date the registration",,3. Return the form,Deliver the form in person to your [County Commissioner of Registration or Superintendent of Elections](http://www.state.nj.us/state/elections/voting-information-local-officials.html) by **Oct 18**,,,Check if you're registered to vote,https://voter.njsvrs.com/PublicAccess/servlet/com.saber.publicaccess.control.PublicAccessNavigationServlet?USERPROCESS=PublicSearch,"- Be a US citizen
- Be at least 17 years old at the time of registration and at least 18 years by Nov 8
- Live at a New Jersey address by Oct 9
- Not serving a sentence (including parole) for a felony conviction
- Not deprived of the right to vote for a criminal conviction under New Jersey election law, unless pardoned or your right to vote has been restored. 
- Not currently judged by a court to lack the capacity to understand the act of voting",,,2016-10-18,2016-10-18
New Mexico,Register online,"You'll need your New Mexico driver’s license or state ID card number, Social Security number, and birthday.

To register online, the address where you’re registering to vote needs to match the address on file with the state Motor Vehicle Division.",[Register online](https://portal.sos.state.nm.us/OVR/WebPages/InstructionsStep1.aspx),,,,,1. Get the voter registration form,Download and print the New Mexico state voter registration form,[Get the form](https://portal.sos.state.nm.us/OVR/VRForms/VRFormEnglishFinal.pdf),,2. Fill out the form,"**Step 1** · Provide your name, gender, birthday, and Social Security number 

**Step 2** · Provide your address. If you don't have a street address, draw a map at the bottom of the form to show where you live.

**Step 3** · Provide your mailing address, if different from Step 2

**Step 4** · If you're changing your name, provide your previous name

**Step 5** · (Optional) Provide your email address 

**Step 6** · Provide your political party or check the box if you don't have a political party

**Step 7** · (Optional) Provide your phone number, and check the box to indicate if you want the county clerk to make your phone number public. Check the box if you want to volunteer at a voting place on Election Day, Nov 8.

**Step 8** · If you've registered to vote before, provide the city, county, and state where you were registered  

**Step 9** · Check the boxes to indicate if you're a US citizen and will be at least 18 years old on Election Day, Nov 8 

**Step 10** · Sign and date the form

**Step 11** · If you're registering for the first time in New Mexico, include a copy of your photo ID, or a utility bill, bank statement, government check, paycheck, or other government document that shows your name and address",,3. Send the form,Your completed form must be mailed by **Oct 11** to your [county clerk’s office](http://www.sos.state.nm.us/Voter_Information/County_Clerk_Information.aspx),,,,1. Get the voter registration form,Pick up the registration form at your [county clerk’s office](http://www.sos.state.nm.us/Voter_Information/County_Clerk_Information.aspx) or local Motor Vehicle Division office,,,2. Fill out the form,"**Step 1** · Provide your name, gender, birthday, and Social Security number 

**Step 2** · Provide your address

- _If you don't have a street address, draw a map at the bottom of the form to show where you live_

**Step 3** · Provide your mailing address, if different from Step 2

**Step 4** · If you're changing your name, provide your previous name

**Step 5** · (Optional) Provide your email address 

**Step 6** · Provide your political party or check the box if you don't have a political party

**Step 7** · (Optional) Provide your phone number, and check the box to indicate if you want the county clerk to make your phone number public. Check the box if you want to volunteer at a voting place on Election Day, Nov 8.

**Step 8** · If you've registered to vote before, provide the city, county, and state where you were registered  

**Step 9** · Check the boxes to indicate if you're  a US citizen and will be at least 18 years old on Election Day, Nov 8 

**Step 10** · Sign and date the form",,3. Return the form,"Your completed form must be filled out, signed, and dated by **Oct 11** and returned in person by **Oct 14** to your [county clerk’s office](http://www.sos.state.nm.us/Voter_Information/County_Clerk_Information.aspx)",,,Check if you're registered to vote,https://voterview.state.nm.us/VoterView/RegistrantSearch.do,"- Be a US citizen 
- Be at least 18 years old on Election Day, Nov 8 
- Live at a New Mexico address
- Not be in jail or prison, or on probation or parole for a felony conviction
- Not currently be declared mentally incapacitated",2016-10-11,,2016-10-11,2016-10-11
New York,1. Create an account,"Create an account at dmv.ny.gov with your New York driver’s license, permit, or non-driver ID",[Register online](https://dmv.ny.gov/mydmv/mydmv),2. Register online,"Sign in, select “Register to Vote”, and fill out the form.

The DMV will automatically forward your completed form to your county board of elections for approval and processing.",,,1. Get the voter registration form,Download and print the New York state voter registration form or call [1-800-FOR-VOTE (8683)](tel:1-800-367-8683) to have a form mailed to you,[Get the form](http://www.elections.ny.gov/NYSBOE/download/voting/voteform.pdf),,2. Fill out the form,"**Steps 1–2** · Check the boxes to indicate if you're a US citizen and will be 18 years old by Election Day, Nov 8

**Step 3** · Provide your name

**Steps 4-5** · Provide your birthday and check the box to indicate if you're male or female (optional)

**Steps 6–7** · (Optional) Provide your phone number and email address 

**Step 8** · Provide your address

**Step 9** · Provide your mailing address, if different from Step 8

**Steps 10–11** · Check the box to indicate if you've voted before and provide the year you voted 

**Step 12** · If you're reporting a change in name or address, provide the previous name or address  

**Step 13** · Provide your New York driver’s license number or the last 4 digits of your Social Security number, or check the box to indicate that you don't have either

**Step 14** · Check the box to select your political party or to indicate that you don't have a political party

**Step 15** · (Optional) Check the boxes to apply for an absentee ballot or to volunteer at a voting place on Election Day, Nov 8  

**Step 16** · Sign and date the form",,3. Send the form,Your completed form must be mailed by **Oct 14** to your [county board of elections](http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=nysboe_roster),,,,1. Get the voter registration form,Pick up the registration form at your [county board of elections](http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=nysboe_roster),,,2. Fill out the form,"**Steps 1-2** · Check the boxes to indicate if you're a US citizen and will be 18 years old by Election Day, Nov 8

**Step 3** · Provide your name

**Steps 4-5** · Provide your birthday and (optional) check the box to indicate if you're male or female

**Steps 6–7** · (Optional) Provide your phone number and email address 

**Step 8** · Provide your address

**Step 9** · Provide your mailing address, if different from Step 8

**Steps 10–11** · Check the box to indicate if you've voted before and provide the year you voted 

**Step 12** · If you're reporting a change in name or address, provide the previous name or address  

**Step 13** · Provide your New York driver’s license number or the last 4 digits of your Social Security number, or check the box to indicate that you don't have either

**Step 14** · Check the box to select your political party or to indicate that you don't have a political party

**Step 15** · (Optional) Check the boxes to apply for an absentee ballot or to volunteer at a voting place on Election Day, Nov 8  

**Step 16** · Sign and date the form",,3. Return the form,Your completed form must be returned in person by **Oct 14** to your [county board of elections](http://www.elections.ny.gov:8080/reports/rwservlet?cmdkey=nysboe_roster),,,Check if you're registered to vote,https://voterlookup.elections.state.ny.us/,"- Be a US citizen 
- Be at least 18 years old on Election Day, Nov 8 
- Live at a New York address by Oct 9
- Not be in prison or on parole for a felony conviction
- Not currently be declared mentally incompetent by a court
- Not claim the right to vote in another state ",2016-10-14,,2016-10-14,2016-10-14
